"issue"	"issue_status"	"issue_type"
"675"	"ISSUE_CLOSED"	"wrongGroup"
"674"	"ISSUE_OPEN"	"nameChange"
"673"	"ISSUE_CLOSED"	"nameChange"
"672"	"ISSUE_CLOSED"	"wrongStatus"
"671"	"ISSUE_CLOSED"	"ARRAY"
"670"	"ISSUE_CLOSED"	"ARRAY"
"669"	"ISSUE_OPEN"	"wrongStatus"
"668"	"ISSUE_CLOSED"	"badName"
"667"	"ISSUE_OPEN"	"nameChange"
"666"	"ISSUE_CLOSED"	"badName"
"661"	"JSON-TAG-ERROR"	"nameChange"
"662"	"ISSUE_CLOSED"	"wrongStatus"
"659"	"ISSUE_CLOSED"	"nameChange"
"657"	"ISSUE_CLOSED"	"nameChange"
"656"	"ISSUE_OPEN"	"nameChange"
"653"	"ISSUE_CLOSED"	"wrongGroup"
"651"	"ISSUE_OPEN"	"nameChange"
"652"	"ISSUE_CLOSED"	"nameChange"
"649"	"ISSUE_OPEN"	"wrongStatus"
"648"	"ISSUE_OPEN"	"ARRAY"
"646"	"JSON-TAG-ERROR"	"nameChange"
"647"	"ISSUE_CLOSED"	"wrongStatus"
"645"	"ISSUE_OPEN"	"nameChange"
"641"	"ISSUE_OPEN"	"ARRAY"
"633"	"ISSUE_OPEN"	"wrongStatus"
"634"	"ISSUE_OPEN"	"wrongStatus"
"631"	"ISSUE_OPEN"	"wrongStatus"
"630"	"ISSUE_CLOSED"	"wrongStatus"
"629"	"ISSUE_CLOSED"	"nameChange"
"628"	"ISSUE_OPEN"	"wrongStatus"
"627"	"ISSUE_CLOSED"	"nameChange"
"626"	"ISSUE_OPEN"	"missingName"
"625"	"ISSUE_CLOSED"	"wrongGroup"
"622"	"ISSUE_CLOSED"	"nameChange"
"621"	"ISSUE_OPEN"	"ARRAY"
"620"	"ISSUE_OPEN"	"nameChange"
"619"	"ISSUE_OPEN"	"ARRAY"
"614"	"ISSUE_OPEN"	"wrongStatus"
"615"	"JSON-TAG-ERROR"	"wrongStatus"
"616"	"ISSUE_CLOSED"	"badName"
"613"	"ISSUE_CLOSED"	"nameChange"
"605"	"JSON-TAG-ERROR"	"nameChange"
"604"	"ISSUE_CLOSED"	"wrongStatus"
"606"	"ISSUE_OPEN"	"badName"
"601"	"ISSUE_OPEN"	"nameChange"
"600"	"ISSUE_OPEN"	"nameChange"
"599"	"ISSUE_OPEN"	"wrongStatus"
"593"	"ISSUE_OPEN"	"nameChange"
"598"	"ISSUE_CLOSED"	"nameChange"
"591"	"ISSUE_CLOSED"	"badName"
"589"	"ISSUE_CLOSED"	"nameChange"
"584"	"ISSUE_CLOSED"	"wrongStatus"
"582"	"ISSUE_OPEN"	"badName"
"578"	"ISSUE_CLOSED"	"wrongGroup"
"576"	"ISSUE_OPEN"	"nameChange"
"574"	"ISSUE_OPEN"	"badName"
"573"	"ISSUE_OPEN"	"nameChange"
"566"	"JSON-TAG-ERROR"	"wrongGroup"
"568"	"ISSUE_CLOSED"	"nameChange"
"567"	"ISSUE_CLOSED"	"wrongGroup"
"562"	"ISSUE_CLOSED"	"wrongGroup"
"563"	"ISSUE_OPEN"	"missingName"
"556"	"ISSUE_CLOSED"	"wrongGroup"
"555"	"ISSUE_OPEN"	"badName"
"554"	"ISSUE_OPEN"	"missingName"
"551"	"ISSUE_OPEN"	"ARRAY"
"552"	"ISSUE_CLOSED"	"nameChange"
"549"	"ISSUE_CLOSED"	"nameChange"
"546"	"ISSUE_CLOSED"	"wrongGroup"
"545"	"ISSUE_CLOSED"	"wrongGroup"
"544"	"ISSUE_CLOSED"	"wrongGroup"
"543"	"ISSUE_CLOSED"	"wrongStatus"
"542"	"ISSUE_CLOSED"	"ARRAY"
"541"	"ISSUE_OPEN"	"missingName"
"538"	"ISSUE_CLOSED"	"wrongGroup"
"534"	"ISSUE_CLOSED"	"wrongGroup"
